capture.loc,year,fish,species,julian.day,F,M
5,2008,461,coho,240,230.5,230.5
5,2008,957,coho,241,478.5,478.5
5,2008,474,coho,244,237,237
5,2008,2006,coho,245,1003,1003
5,2008,78,coho,247,39,39
5,2008,422,coho,248,211,211
5,2008,30,coho,251,15,15
5,2008,43,coho,252,21.5,21.5
5,2008,34,coho,253,17,17
5,2009,5,coho,191,2.5,2.5
5,2009,14,coho,193,7,7
5,2009,51,coho,195,25.5,25.5
5,2009,49,coho,197,24.5,24.5
5,2009,122,coho,200,61,61
5,2009,321,coho,203,160.5,160.5
5,2009,11,coho,207,5.5,5.5
5,2009,321,coho,207,160.5,160.5
5,2009,296,coho,210,59.2,236.8
5,2009,23,coho,210,4.6,18.4
5,2009,890,coho,214,445,445
5,2009,1386,coho,217,693,693
5,2009,2355,coho,221,1177.5,1177.5
5,2009,1207,coho,224,603.5,603.5
5,2009,2582,coho,228,1291,1291
5,2009,1101,coho,231,550.5,550.5
5,2009,826,coho,235,413,413
5,2009,412,coho,245,206,206
5,2009,27,coho,249,13.5,13.5
5,2009,49,coho,250,24.5,24.5
5,2009,47,coho,251,23.5,23.5
5,2009,31,coho,253,15.5,15.5
5,2010,1,coho,188,0.5,0.5
5,2010,1,coho,192,0.5,0.5
5,2010,1,coho,194,0.5,0.5
5,2010,1,coho,196,0.5,0.5
5,2010,2,coho,197,1,1
5,2010,6,coho,200,3,3
5,2010,38,coho,201,19,19
5,2010,64,coho,202,32,32
5,2010,184,coho,204,92,92
5,2010,266,coho,205,133,133
5,2010,194,coho,206,97,97
5,2010,101,coho,207,50.5,50.5
5,2010,386,coho,208,193,193
5,2010,168,coho,209,84,84
5,2010,114,coho,210,57,57
5,2010,856,coho,211,428,428
5,2010,545,coho,212,272.5,272.5
5,2010,268,coho,214,134,134
5,2010,678,coho,215,339,339
5,2010,8,coho,216,4,4
5,2010,272,coho,216,136,136
5,2010,132,coho,217,66,66
5,2010,481,coho,218,240.5,240.5
5,2010,488,coho,219,244,244
5,2010,31,coho,220,15.5,15.5
5,2010,243,coho,221,121.5,121.5
5,2010,54,coho,222,27,27
5,2010,98,coho,224,49,49
5,2010,647,coho,225,323.5,323.5
5,2010,99,coho,226,49.5,49.5
5,2010,43,coho,228,21.5,21.5
5,2010,260,coho,229,130,130
5,2010,42,coho,230,21,21
5,2010,367,coho,231,183.5,183.5
5,2010,747,coho,233,373.5,373.5
5,2010,326,coho,234,163,163
5,2010,332,coho,235,166,166
5,2010,1017,coho,236,508.5,508.5
5,2010,91,coho,238,45.5,45.5
5,2010,303,coho,239,151.5,151.5
5,2010,178,coho,240,89,89
5,2010,92,coho,242,46,46
5,2010,216,coho,243,108,108
5,2010,165,coho,244,82.5,82.5
5,2011,1,coho,187,0.5,0.5
5,2011,1,coho,195,0.5,0.5
5,2011,3,coho,196,1.5,1.5
5,2011,2,coho,197,1,1
5,2011,5,coho,198,2.5,2.5
5,2011,5,coho,199,2.5,2.5
5,2011,14,coho,200,7,7
5,2011,65,coho,201,32.5,32.5
5,2011,146,coho,202,73,73
5,2011,119,coho,203,59.5,59.5
5,2011,75,coho,205,37.5,37.5
5,2011,325,coho,206,162.5,162.5
5,2011,281,coho,207,140.5,140.5
5,2011,181,coho,208,90.5,90.5
5,2011,429,coho,209,214.5,214.5
5,2011,348,coho,212,174,174
5,2011,108,coho,213,54,54
5,2011,1065,coho,213,532.5,532.5
5,2011,2010,coho,214,1005,1005
5,2011,519,coho,218,259.5,259.5
5,2011,944,coho,219,472,472
5,2011,138,coho,220,69,69
5,2011,601,coho,222,300.5,300.5
5,2011,184,coho,223,92,92
5,2011,31,coho,224,15.5,15.5
5,2011,2,coho,226,1,1
5,2011,975,coho,226,487.5,487.5
5,2011,946,coho,228,473,473
5,2011,165,coho,229,82.5,82.5
5,2011,254,coho,230,127,127
5,2011,106,coho,231,53,53
5,2011,369,coho,233,184.5,184.5
5,2011,1118,coho,234,559,559
5,2011,156,coho,235,78,78
5,2011,13,coho,236,6.5,6.5
5,2011,1,coho,237,0.5,0.5
5,2011,105,coho,237,52.5,52.5
5,2011,113,coho,238,56.5,56.5
5,2011,116,coho,240,58,58
5,2011,297,coho,241,148.5,148.5
5,2011,2,coho,242,1,1
5,2011,98,coho,243,49,49
5,2011,98,coho,244,49,49
5,2011,84,coho,245,42,42
5,2011,4,coho,247,2,2
5,2011,23,coho,249,11.5,11.5
5,2012,3,coho,194,1.5,1.5
5,2012,2,coho,195,1,1
5,2012,1,coho,196,0.5,0.5
5,2012,2,coho,196,1,1
5,2012,8,coho,197,4,4
5,2012,2,coho,198,1,1
5,2012,15,coho,201,7.5,7.5
5,2012,89,coho,202,44.5,44.5
5,2012,102,coho,203,51,51
5,2012,77,coho,204,38.5,38.5
5,2012,35,coho,205,17.5,17.5
5,2012,640,coho,212,320,320
5,2012,529,coho,213,264.5,264.5
5,2012,233,coho,214,116.5,116.5
5,2012,687,coho,215,343.5,343.5
5,2012,304,coho,219,152,152
